time_period,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,education_phase,num_schools,enrolments,present_sessions,overall_attendance,approved_educational_activity,overall_absence,authorised_absence,unauthorised_absence,late_sessions,possible_sessions,reason_present_am,reason_present_pm,reason_present,reason_l_present_late_before_registers_closed,reason_i_authorised_illness,reason_m_authorised_medical_dental,reason_r_authorised_religious_observance,reason_s_authorised_study_leave,reason_t_authorised_mobile_child,reason_h_authorised_holiday,reason_e_authorised_excluded,reason_c_authorised_other,reason_c1_authorised_regulated_performance,reason_j1_authorised_interview,reason_c2_authorised_temp_reduced_timetable,reason_b_aea_education_off_site,reason_j_aea_interview,reason_p_aea_approved_sporting_activity,reason_v_aea_educational_visit_trip,reason_w_aea_work_experience,reason_k_aea_education_arranged_by_la,reason_g_unauthorised_holiday,reason_u_unauthorised_late_after_registers_closed,reason_o_other_unauthorised,reason_n_no_reason_yet,total_num_schools,total_enrolments,attendance_perc,overall_absence_perc,authorised_absence_perc,unauthorised_absence_perc,illness_perc,appointments_perc,unauth_hol_perc,unauth_oth_perc,unauth_late_registers_closed_perc,unauth_not_yet_perc,auth_religious_perc,auth_study_perc,auth_mob_perc,auth_excluded_perc,auth_performance_perc,auth_interview_perc,auth_part_time_perc,auth_other_perc,pa_perc,time_identifier
202425,Local authority,E92000001,England,E12000006,East of England,E10000029,Suffolk,935,Primary,249.856383,45865.87766,15962543,16146127,183584,884546,664517,220029,151723,17030673,7891041,7952597,15843638,118905,505513,46057,3548,29,1147,0,10328,60241,296,1847,35511,38157,0,15800,124879,5,4743,88445,32818,89230,9536,253,55603,94.80615945,5.193840549,3.901883384,1.291957165,2.968250286,0.270435584,0.519327686,0.523937016,0.192699372,0.05599309,0.020832999,0.000170281,0.006734907,0.060643522,0.001738041,0.010845138,0.208512018,0.353720608,12.45379353,Academic year
202425,Local authority,E92000001,England,E12000002,North West,E06000007,Warrington,877,Primary,67.54255319,15008.46277,5202866,5257929,55063,238673,165269,73404,67279,5496602,2548178,2595704,5143882,58984,134710,14354,1179,22,261,0,1023,11599,53,327,1741,10564,0,3542,39937,3,1017,41655,8295,22306,1148,69,17570,95.65780822,4.342191776,3.006748533,1.335443243,2.450786868,0.261143157,0.757831839,0.405814356,0.150911418,0.020885631,0.021449616,0.000400247,0.004748388,0.018611499,0.000964232,0.00594913,0.031674114,0.211021282,9.094358715,Academic year
202425,Local authority,E92000001,England,E12000007,London,E09000004,Bexley,303,Primary,58.10106383,17984.58511,6196546,6268559,72013,323335,226539,96796,92613,6591894,3024468,3086202,6110670,85876,186351,18406,2798,162,83,0,1415,11242,117,669,5296,10299,0,1491,60053,1,169,30937,6737,56255,2867,60,22044,95.09496057,4.905039432,3.436629897,1.468409534,2.826972036,0.279221723,0.469318833,0.853396611,0.102201279,0.043492811,0.042446071,0.002457564,0.001259122,0.021465758,0.001774907,0.010148828,0.080341098,0.170542791,12.27488152,Academic year
202425,Local authority,E92000001,England,E12000009,South West,E06000030,Swindon,866,Primary,65.2606383,17111.51596,5866478,5933139,66661,302139,227936,74203,59857,6235278,2889755,2926133,5815888,50590,179360,15139,3220,43,219,10,1233,17080,147,146,11339,12355,0,3212,50494,0,600,21239,9267,41281,2416,66,21230,95.154362,4.845637997,3.655586808,1.190051189,2.876535737,0.242795911,0.340626352,0.662055485,0.148622082,0.03874727,0.051641643,0.000689624,0.003512273,0.019774579,0.002357553,0.002341515,0.181852357,0.273925236,11.26651127,Academic year
202425,Local authority,E92000001,England,E12000005,West Midlands,E08000026,Coventry,331,Primary,84.0952381,27299.19577,9439411,9527398,87987,573170,399312,173858,160180,10100568,4594425,4700460,9294885,144526,309563,20405,16016,27,120,0,6152,32582,199,322,13926,12666,0,3889,71036,3,393,63902,15654,88775,5527,85,33355,94.32536863,5.674631367,3.953361831,1.721269537,3.064807841,0.202018342,0.63265749,0.878910968,0.154981383,0.054719695,0.15856534,0.000267312,0.001188052,0.060907466,0.001970186,0.00318794,0.137873434,0.322575919,16.49741003,Academic year
202425,Local authority,E92000001,England,E12000007,London,E09000026,Redbridge,317,Primary,51.30319149,22314.29255,7706314,7776337,70023,475615,343205,132410,100832,8251952,3775107,3839901,7615008,91306,250340,19482,37596,3,1,0,746,26808,188,4277,3764,4315,0,2506,63130,0,72,51744,9526,68750,2390,52,28109,94.23633342,5.763666585,4.159076543,1.604590041,3.033706449,0.236089594,0.627051636,0.833136208,0.115439353,0.028962844,0.455601293,3.63550345421301e-05,1.21183448473767e-05,0.009040285,0.002278249,0.051830161,0.04561345,0.324868589,17.06815156,Academic year
202425,Local authority,E92000001,England,E12000009,South West,E10000008,Devon,878,Primary,301.5025907,44979.72021,15901960,16148893,246933,860680,677363,183317,139695,17009573,7876113,7910762,15786875,115085,507437,47511,2375,39,2521,0,7631,65327,607,2977,40938,44164,0,27759,172941,10,2059,74328,24610,76608,7771,309,55991,94.94002583,5.059974169,3.982245762,1.077728406,2.983243612,0.279319181,0.43697746,0.450381676,0.144683232,0.045686038,0.013962726,0.000229283,0.014821066,0.044862972,0.003568579,0.017501909,0.240676236,0.3840602,11.45755539,Academic year
202425,Local authority,E92000001,England,E12000001,North East,E08000037,Gateshead,390,Primary,65.44973545,12450.64021,4290727,4330704,39977,211789,148034,63755,51958,4542493,2105715,2137491,4243206,47521,119129,11145,2279,0,18,8,799,11266,119,23,3248,10799,0,4407,24631,1,139,31663,4437,26076,1579,66,15579,95.33760426,4.662395737,3.258871285,1.403524452,2.622546694,0.245349855,0.69704015,0.574046014,0.097677641,0.034760648,0.050170688,0,0.000396258,0.01758946,0.002619707,0.00050633,0.071502587,0.248013591,10.53770087,Academic year
202425,Local authority,E92000001,England,E12000007,London,E09000023,Lewisham,209,Primary,63.07446809,17546.54255,6126244,6219747,93503,343847,231550,112297,128212,6563594,2953016,3061143,6014159,112085,164361,17802,5563,294,38,2,634,34848,135,4691,3182,6679,6,5744,80211,1,862,19636,16127,72228,4306,64,22075,94.76129998,5.238700017,3.527792853,1.710907165,2.504131121,0.271223357,0.299165366,1.100433695,0.245703802,0.065604302,0.084755395,0.004479253,0.000578951,0.009659342,0.0020568,0.07146999,0.048479537,0.530928635,14.82673137,Academic year
202425,Local authority,E92000001,England,E12000002,North West,E10000017,Lancashire,888,Primary,478.6329787,83644.78191,28576633,28826698,250065,1550212,1127587,422625,371113,30376910,13992368,14260183,28252551,324082,864055,84886,30040,41,8186,6,13625,97146,559,735,28308,37450,1,20551,188599,15,3449,196997,47031,167247,11350,480,97676,94.8967423,5.103257705,3.711987164,1.391270541,2.844446654,0.279442511,0.648509016,0.550572787,0.154824832,0.037363906,0.098890901,0.000134971,0.0269481,0.044853147,0.001840214,0.002419601,0.093189202,0.319802113,12.69553782,Academic year
