"geographic_level","country_name","region_name","la_name","geo_breakdown"
"Local authority","England","East of England","Suffolk","Suffolk"
"Local authority","England","North West","Warrington","Warrington"
"Local authority","England","London","Bexley","Bexley"
"Local authority","England","South West","Swindon","Swindon"
"Local authority","England","West Midlands","Coventry","Coventry"
"Local authority","England","London","Redbridge","Redbridge"
"Local authority","England","South West","Devon","Devon"
"Local authority","England","North East","Gateshead","Gateshead"
"Local authority","England","London","Lewisham","Lewisham"
"Local authority","England","North West","Lancashire","Lancashire"
"Local authority","England","North West","Salford","Salford"
"Local authority","England","Yorkshire and The Humber","Wakefield","Wakefield"
"Local authority","England","East of England","Luton","Luton"
"Local authority","England","South West","Wiltshire","Wiltshire"
"Local authority","England","London","Ealing","Ealing"
"Local authority","England","London","Hillingdon","Hillingdon"
"Local authority","England","London","Tower Hamlets","Tower Hamlets"
"Local authority","England","North East","North Tyneside","North Tyneside"
"Local authority","England","North West","Bury","Bury"
"Local authority","England","South East","Oxfordshire","Oxfordshire"
"Local authority","England","South East","Milton Keynes","Milton Keynes"
"Local authority","England","North West","Wirral","Wirral"
"Local authority","England","East Midlands","Nottinghamshire","Nottinghamshire"
"Local authority","England","London","Haringey","Haringey"
"Local authority","England","London","Waltham Forest","Waltham Forest"
"Local authority","England","East Midlands","Leicester","Leicester"
"Local authority","England","South West","Bath and North East Somerset","Bath and North East Somerset"
"Local authority","England","South East","Slough","Slough"
"Local authority","England","South East","Buckinghamshire","Buckinghamshire"
"Local authority","England","South East","Portsmouth","Portsmouth"
"Local authority","England","North East","Newcastle upon Tyne","Newcastle upon Tyne"
"Local authority","England","London","City of London","City of London"
"Local authority","England","Yorkshire and The Humber","Rotherham","Rotherham"
"Local authority","England","North West","Bolton","Bolton"
"Local authority","England","East Midlands","Derbyshire","Derbyshire"
"Local authority","England","East of England","Peterborough","Peterborough"
"Local authority","England","North East","Hartlepool","Hartlepool"
"Local authority","England","West Midlands","Wolverhampton","Wolverhampton"
"Local authority","England","East of England","Southend-on-Sea","Southend-on-Sea"
"Local authority","England","East of England","Essex","Essex"
"Local authority","England","North West","Blackburn with Darwen","Blackburn with Darwen"
"Local authority","England","Yorkshire and The Humber","North Lincolnshire","North Lincolnshire"
